id;claim_bill_code;claim_bill_date;register_user_id;client_bill_no;bill_description;due_date;member_year;number_id;claim_amount_currency;claim_amount;deductible;deductible_currency;deductible_currency_rate;deductible_dollar;bill_currency;bill_amount;bill_currency_rate;bill_amount_dollar;remark;is_signed;sign_user;sign_date;process_id;print_number
1;Small Rubber Shoes;2019-06-18T01:37:41;30126;Checking Account contingency parallelism;Checking Account Unbranded Fresh Pizza SMTP;2019-06-18T00:30:36;visionary Officer;62617;7896;53131;23951;83815;79457;28529;3467;42918;58280;26777;../data/blob/hipster.txt;true;78916;2019-06-17T11:54:12;57334;52144
2;Gorgeous Fresh Bike Investment Account;2019-06-18T05:40:53;73756;Tunisia;Vatu;2019-06-17T12:32:13;XSS;57177;2514;51744;69445;43042;8220;31694;91067;43459;46443;77387;../data/blob/hipster.txt;false;60192;2019-06-18T00:15:37;89252;16482
3;Soap Web;2019-06-17T21:45:14;59169;Pakistan Rupee Progressive Avon;Innovative;2019-06-17T13:33:29;Technician web-enabled;27156;60065;47289;74359;98384;50626;26895;63410;40697;7093;89148;../data/blob/hipster.txt;false;292;2019-06-17T23:45:19;3976;47249
4;Unbranded Wooden Bike holistic;2019-06-17T09:07:24;45046;Manors;turquoise Investment Account;2019-06-18T01:42:12;plum Borders;550;85413;766;4949;21906;83331;3672;84392;10802;28490;33886;../data/blob/hipster.txt;false;80258;2019-06-17T21:54:54;57204;21850
5;empower Unbranded Plastic Shirt;2019-06-17T12:50:22;8709;Auto Loan Account;Guadeloupe;2019-06-17T11:19:24;Utah Health;67542;70225;4485;99281;45059;13148;92942;27473;16520;39457;38987;../data/blob/hipster.txt;false;72986;2019-06-17T22:34:31;88225;90761
6;port Credit Card Account encoding;2019-06-17T12:40:08;71842;Creative driver THX;Handmade Concrete Bacon;2019-06-18T07:00:40;Auto Loan Account;68658;25669;11448;66529;38383;80035;45623;66266;36905;9228;12102;../data/blob/hipster.txt;true;41894;2019-06-17T19:15:00;75117;90032
7;optimize;2019-06-18T00:44:02;35477;Group Zloty Zloty;HDD Checking Account;2019-06-17T20:23:17;Frozen Rubber;15432;87369;17184;72397;63787;12055;74098;90245;52999;6644;82901;../data/blob/hipster.txt;true;99126;2019-06-18T05:01:43;82001;1170
8;relationships heuristic Avon;2019-06-17T18:35:14;39936;Direct;Hawaii web-enabled transmitter;2019-06-17T16:47:06;navigating;69249;85184;42993;40389;67296;7761;27538;54253;30631;86174;78898;../data/blob/hipster.txt;true;44641;2019-06-18T03:00:33;79838;38423
9;Terrace Virginia index;2019-06-18T06:04:00;31886;Alabama seize Checking Account;visualize Haiti Bedfordshire;2019-06-18T04:27:53;deposit Unbranded Soft Pants;94664;15445;33976;2544;51723;64582;37891;63690;671;34060;38587;../data/blob/hipster.txt;false;79172;2019-06-17T22:36:31;59598;31121
10;Uzbekistan Sum;2019-06-17T17:54:04;53108;overriding Wyoming;Course Yuan Renminbi;2019-06-18T05:03:59;Bedfordshire Industrial Borders;96401;13578;38420;9930;3899;20886;3095;92563;38798;41415;16002;../data/blob/hipster.txt;false;2335;2019-06-18T00:55:22;75621;14706
