id;process_id;insert_time;approval_user;approval_opinion;approval_transition;remark
1;94404;2019-06-17T09:10:10;Applications;Executive Buckinghamshire;Borders function Bedfordshire;salmon index
2;38654;2019-06-17T17:54:07;Central front-end;SCSI Architect content;Auto Loan Account New Hampshire mobile;silver Ergonomic
3;85396;2019-06-18T08:21:49;invoice success;Incredible Fresh Ball;Beauty Orchestrator;Mobility
4;1911;2019-06-17T14:08:16;Quality Clothing;Tugrik Rubber moderator;synthesizing B2B;sky blue Data Industrial
5;99782;2019-06-18T03:37:27;Assistant Incredible Books;array;payment Rustic Steel Cheese Accounts;invoice program calculating
6;61360;2019-06-18T05:56:03;target;Gorgeous infomediaries utilize;forecast;Generic multi-byte
7;94768;2019-06-17T15:41:38;Industrial;Taiwan;Taka;Cambridgeshire
8;79451;2019-06-18T02:37:35;Cape Steel interface;composite Synergistic foreground;upward-trending Shirt transitional;leverage
9;47643;2019-06-17T12:13:35;Nicaragua;Supervisor;grey systems;Concrete SMS Cambridgeshire
10;44934;2019-06-17T21:32:43;generating Bangladesh;Kyat Multi-lateral;Stand-alone projection intermediate;Brazil Frozen
