id;claim_bill_code;operate_type;operate_user;operate_date
1;port target Ball;Fresh Credit Card Account Gorgeous Soft Shirt;Small;2019-06-18T03:54:10
2;auxiliary port;circuit Awesome Fresh Shoes;end-to-end;2019-06-17T09:52:09
3;Incredible Security copying;local;FTP South Carolina Human;2019-06-17T09:48:30
4;functionalities seize;Technician Ergonomic Australian Dollar;Maryland Web;2019-06-17T12:10:41
5;UAE Dirham Wooden Realigned;deposit Engineer hack;Seychelles Rupee Paradigm attitude-oriented;2019-06-17T21:01:49
6;payment Associate Fantastic;Markets Cambridgeshire;Locks Intelligent;2019-06-17T17:12:50
7;navigate Movies;override architectures navigating;program reintermediate RSS;2019-06-17T14:54:29
8;deposit wireless quantify;fault-tolerant;Branding;2019-06-18T05:25:21
9;card Technician Fantastic Metal Fish;salmon Senior;Fantastic Metal Car;2019-06-17T12:40:50
10;haptic;attitude-oriented calculating;Implemented;2019-06-17T10:34:28
