id;vessel_id;number_id;arrest_date;arrest_port;arrest_vessel_id;arrest_vessel_name;bill_of_lading;bill_lading_date;nature_of_claim;guarantee;guarantee_date;guarantee_currency;guarantee_rate;guarantee_amount;guarantee_amount_dollar;guarantee_to;guarantee_to_address;guarantee_no;guarantee_fee;guarantee_other;cancel_date;con_guarantee;con_guarantee_date;con_guarantee_currency;con_guarantee_rate;con_guarantee_amount;con_guarantee_amount_dollar;con_guarantee_no;con_guarantee_to;con_guarantee_cancel_date;remark;release_date;register_user_id
1;25677;52308;2019-06-18T01:36:10;67009;30728;haptic Moldova archive;monitor morph;2019-06-17T08:59:54;bypassing Christmas Island;Dong;2019-06-18T04:05:06;79978;52516;18458;70904;Licensed;white Principal;Avon neural;55022;Sleek Rubber Computer Solutions;2019-06-17T18:00:04;connecting HDD;2019-06-18T02:57:57;79374;21204;64660;61098;action-items;Human navigate Idaho;2019-06-18T02:18:15;../data/blob/hipster.txt;2019-06-17T13:42:26;30206
2;27480;73195;2019-06-17T12:41:49;85117;42373;Trinidad and Tobago Dollar Licensed Savings Account;interfaces Mouse;2019-06-18T02:47:38;SCSI Field Bermuda;Home;2019-06-17T17:01:57;23024;60709;20618;54669;Exclusive benchmark;Sleek Wooden Chips bi-directional;Russian Ruble deploy;42819;monitor Lek;2019-06-17T08:38:59;Fresh Generic;2019-06-17T15:03:20;33722;57838;90552;27416;Gorgeous Generic Investor;monetize;2019-06-17T23:37:58;../data/blob/hipster.txt;2019-06-18T03:00:00;34356
3;35499;61715;2019-06-18T06:46:24;44240;51905;Handcrafted Soft Car Profit-focused Ethiopia;Credit Card Account Pataca Function-based;2019-06-17T21:28:30;olive;Coordinator;2019-06-17T16:33:20;36294;55778;99548;73065;Hill Awesome Rubber Computer;Directives payment override;Indonesia;9667;Stravenue back up;2019-06-18T00:05:53;invoice;2019-06-17T13:20:56;47488;92717;38252;23464;redefine;Industrial;2019-06-17T14:44:51;../data/blob/hipster.txt;2019-06-17T10:11:31;76859
4;53995;24365;2019-06-17T12:13:52;67155;52095;Money Market Account;1080p;2019-06-17T11:41:14;Auto Loan Account;back-end protocol;2019-06-18T07:34:18;11764;30312;22735;26311;dynamic Incredible;Optional Bedfordshire navigating;Village;60059;Avon Forward Borders;2019-06-17T08:37:41;navigating tan;2019-06-17T10:06:20;39717;11636;53973;81744;whiteboard EXE;transmitter Soft orange;2019-06-17T12:47:25;../data/blob/hipster.txt;2019-06-18T06:29:51;32252
5;40298;2289;2019-06-18T04:16:30;15379;69495;compelling;North Carolina Creative Connecticut;2019-06-17T20:56:07;synergy Investment Account Rubber;transmit Gloves Cambridgeshire;2019-06-17T22:52:18;82520;14637;66630;36753;Sleek Steel Hat;Versatile;San Marino;96582;e-markets;2019-06-18T00:57:22;Cambridgeshire solutions Refined;2019-06-17T17:03:36;33;21603;1768;61958;withdrawal Shirt;South Carolina;2019-06-18T03:50:13;../data/blob/hipster.txt;2019-06-17T21:24:16;21175
6;5816;48460;2019-06-17T08:33:47;75425;5778;Guinea Franc Administrator;Keyboard;2019-06-18T06:38:55;virtual;Intelligent;2019-06-17T15:49:40;69161;6229;61805;50942;Manager open-source;orange Soap;Suriname models;13071;AI Ports pink;2019-06-17T23:36:48;supply-chains hacking;2019-06-17T14:49:59;38707;76930;96382;1103;infrastructures;synergies open-source;2019-06-17T18:28:05;../data/blob/hipster.txt;2019-06-17T14:11:34;68097
7;13710;18969;2019-06-17T19:35:32;61894;21520;Sports;Personal Loan Account;2019-06-18T03:40:02;Tasty Steel Shoes transform intermediate;Mill compressing;2019-06-18T06:05:08;14923;48824;12719;15004;customer loyalty alarm Station;Investment Account RSS;mobile Direct;95533;bluetooth;2019-06-18T00:52:12;Trinidad and Tobago Dollar markets Extended;2019-06-17T12:15:32;93031;3842;25305;90176;Stream withdrawal withdrawal;Points Polarised Senior;2019-06-17T21:37:29;../data/blob/hipster.txt;2019-06-17T19:59:53;88245
8;15016;10569;2019-06-17T14:44:29;98827;51222;Aruban Guilder Small Steel Fish;deposit primary Small;2019-06-18T07:35:09;Buckinghamshire facilitate Green;holistic reboot invoice;2019-06-18T03:59:42;35484;17410;41213;9839;invoice bypass;synergies;Sleek;96786;regional compress Personal Loan Account;2019-06-17T23:16:23;red Concrete Money Market Account;2019-06-17T13:50:55;6925;64390;95982;53030;Unbranded Frozen Gloves back-end;Wall;2019-06-18T05:42:17;../data/blob/hipster.txt;2019-06-17T17:59:41;48601
9;58242;92029;2019-06-17T14:29:10;52076;81176;deposit Steel;Unbranded Savings Account;2019-06-18T06:09:34;strategize Japan;Savings Account Response;2019-06-18T02:39:47;92831;12150;67598;19747;TCP invoice;New Taiwan Dollar;SCSI;84651;Global;2019-06-18T02:23:09;override Wall;2019-06-17T12:13:55;74819;72849;55781;77644;deposit;intranet;2019-06-17T14:21:48;../data/blob/hipster.txt;2019-06-17T08:48:28;26933
10;93738;53955;2019-06-18T07:24:12;72794;16481;Metal;Licensed Manager Borders;2019-06-18T04:49:24;bricks-and-clicks relationships quantify;Borders array Delaware;2019-06-17T15:54:24;9375;87332;57717;63629;index Keyboard Overpass;open-source;circuit Engineer Intelligent;40149;bluetooth orange Saint Barthelemy;2019-06-17T14:50:46;Home Loan Account magenta dynamic;2019-06-17T13:37:44;53869;55422;52415;522;program Sports back up;parse;2019-06-17T14:13:54;../data/blob/hipster.txt;2019-06-17T23:36:33;67837
