id;creditor_code;creditor_name;creditor_address;port_name;swift_code;iban_code;bank_name;bank_address;account_no;corr_bank_name;corr_bank_address;corr_bank_name_2;corr_bank_address_2
1;eyeballs solid state sticky;orchid Tools;generating Arkansas;synthesize;Macedonia Japan;target Rhode Island;Intelligent;SDD Mobility;didactic Dynamic;schemas Industrial;calculating;withdrawal Toys white;olive
2;Kids Incredible;Florida THX Idaho;Licensed Visionary pixel;neural Markets Branding;maroon;superstructure;Kids;microchip;Music Salad North Carolina;circuit Forward;frictionless solution-oriented;distributed Computers;Money Market Account users Guinea
3;SQL lavender;transmit Wooden COM;Agent Squares;supply-chains;Bedfordshire;Peru withdrawal Down-sized;invoice;Liaison Tonga;Lari;Sports Global Soft;Bedfordshire Awesome Cotton Tuna;calculating yellow;Wooden
4;Future;pixel Phased payment;Towels Internal;seize generate;Fantastic Wooden Chips microchip;Generic;Business-focused generate grid-enabled;International card;West Virginia Keys;Factors Soft;black Beauty;Soap;Refined Granite Sausages Savings Account extensible
5;Course robust bricks-and-clicks;Buckinghamshire Nepalese Rupee;Forge Licensed;auxiliary;Engineer Toys Fantastic;Licensed;Marketing mobile Cayman Islands Dollar;Computer Uzbekistan;input invoice calculate;Philippine Peso parsing Triple-buffered;deposit Rand Namibia Dollar;Branding;Handcrafted Rubber Sausages
6;Towels Mississippi Product;Metal;complexity Direct Administrator;online program Refined Granite Gloves;quantifying Baby;one-to-one Connecticut;Unbranded Tugrik;models streamline;projection Maldives;withdrawal alarm Timor-Leste;Personal Loan Account Inverse;Track;Books CSS Holy See (Vatican City State)
7;Data Tasty Steel Pants Licensed Steel Shirt;Manor;Utah zero defect;bypass e-services;Russian Federation program;Practical;emulation SQL;Persevering Gorgeous Steel Salad Associate;Fantastic whiteboard;lavender;neural Cloned Massachusetts;SCSI Communications Underpass;Officer parse
8;Intuitive;quantifying Phased connecting;Automated;architect;lavender;copying primary invoice;EXE;Personal Loan Account Chile foreground;connect Zimbabwe Dollar;Forward;Pre-emptive Reduced;Kids Customer;Practical AI didactic
9;Tunnel;Configuration;Jewelery monitoring Infrastructure;Gorgeous ROI implement;Saint Helena Pound;Borders;Integration;Bond Markets Units European Composite Unit (EURCO);Facilitator;Cambridgeshire;Borders Internal;open-source Ouguiya;AGP circuit
10;optical deposit;Pizza Fish next-generation;UIC-Franc;Generic El Salvador Colon US Dollar purple;XSS RSS Outdoors;Music copying Reduced;Chair connecting synthesizing;Adaptive black;Money Market Account;New York Concrete expedite;Solomon Islands;Wooden radical Beauty;Facilitator 24/365
