id;number_id;case_year;insured_vessel_id;company_name;vessel_name;company_chinese_name;vessel_chinese_name;reinsure_id;deduct;assigned_handler;assigned_time;registered_handler;registered_date;case_code;case_date;case_location;case_description;voyage_no;loading_port;loading_date;discharging_port;discharging_date;limit_time;cp_date;cp_type;arrest_vessel;jurisdiction;applicable_law;close_date;close_handler;remark;settlement_amount;settlement_date
1;52273;partnerships Grocery Intelligent;3142;withdrawal knowledge base Buckinghamshire;Concrete Investment Account Saint Lucia;User-centric;Money Market Account;69478;16122;88046;2019-06-17T10:07:36;62435;2019-06-17T13:02:40;deposit;2019-06-17T11:31:28;45653;mint green e-business EXE;back-end;89609;2019-06-17T23:53:17;31800;2019-06-17T10:40:32;2019-06-18T05:47:53;2019-06-18T01:54:29;withdrawal;copying;86073;30478;2019-06-18T08:16:21;16465;../data/blob/hipster.txt;51074;2019-06-17T19:37:16
2;41741;magenta Concrete;33761;Directives;sky blue;Kenyan Shilling robust;Versatile Exclusive Moroccan Dirham;71227;30087;14808;2019-06-18T01:36:11;99774;2019-06-18T07:33:14;Personal Loan Account;2019-06-17T20:22:30;41103;Home;Investor Public-key;14489;2019-06-17T19:41:49;48945;2019-06-17T21:41:33;2019-06-17T08:47:02;2019-06-17T19:10:12;Credit Card Account;navigate;23763;24215;2019-06-17T14:57:44;80313;../data/blob/hipster.txt;36778;2019-06-17T21:09:08
3;63230;withdrawal Solomon Islands Licensed;83530;installation;Argentine Peso;Kentucky Algerian Dinar Clothing;open-source turn-key;9617;17436;94052;2019-06-17T15:51:25;39757;2019-06-17T23:09:28;Creative Metal;2019-06-18T00:15:13;73521;azure;SMS Enhanced;65998;2019-06-18T04:14:25;81722;2019-06-17T08:52:03;2019-06-17T19:06:52;2019-06-17T20:02:24;content-based Executive;Customer Human deposit;33902;27887;2019-06-18T00:03:30;70035;../data/blob/hipster.txt;72595;2019-06-17T12:07:11
4;89711;AI optical invoice;8413;Cheese Dynamic Home Loan Account;transform;invoice Home Gloves;Buckinghamshire Ports;99445;22426;17592;2019-06-17T15:20:50;1807;2019-06-18T02:44:43;circuit navigate;2019-06-17T16:50:54;74417;alarm local area network Benin;turn-key dedicated;24398;2019-06-17T18:16:57;97301;2019-06-17T08:56:46;2019-06-17T23:00:18;2019-06-17T20:45:27;Investor users dot-com;North Dakota Cambridgeshire;19524;23018;2019-06-17T15:06:02;49919;../data/blob/hipster.txt;28077;2019-06-17T18:42:41
5;2431;deposit Chips Applications;95392;Human;back up Factors;architectures;Wisconsin Facilitator Incredible;30569;38509;19091;2019-06-17T12:00:44;26847;2019-06-18T00:49:59;Pants Maryland;2019-06-17T09:58:18;84421;Intranet Ergonomic Concrete Soap Zambian Kwacha;Concrete Bedfordshire;87737;2019-06-18T00:41:53;74076;2019-06-17T12:04:17;2019-06-17T15:42:40;2019-06-18T05:09:37;array France protocol;open-source HDD;91324;8159;2019-06-17T20:10:02;518;../data/blob/hipster.txt;50151;2019-06-17T17:22:12
6;79829;deposit;70196;auxiliary Human;Tools California;North Dakota Garden;Towels Specialist;83893;59083;86040;2019-06-18T07:42:26;25025;2019-06-18T07:32:34;compressing;2019-06-17T23:47:41;53708;interface;compress lavender Investment Account;8534;2019-06-17T12:13:51;5168;2019-06-18T03:46:27;2019-06-17T19:41:13;2019-06-17T22:34:01;Philippine Peso Metal;Strategist;51630;71459;2019-06-18T00:41:18;4106;../data/blob/hipster.txt;79518;2019-06-17T22:52:04
7;27083;mindshare Gorgeous;2535;Brand;infomediaries Som Rustic Frozen Keyboard;Enterprise-wide Benin;Tuna Response invoice;51669;73789;65711;2019-06-17T19:08:06;43567;2019-06-17T17:45:29;paradigms Organic strategic;2019-06-17T14:15:04;12016;leading-edge;Ergonomic Steel Gloves;85546;2019-06-17T08:55:53;70365;2019-06-18T04:13:53;2019-06-17T21:03:33;2019-06-18T08:01:39;connect;Hollow Shoes systems;39850;4805;2019-06-17T17:39:32;94914;../data/blob/hipster.txt;63509;2019-06-17T11:09:33
8;4530;implement;62585;Borders EXE payment;Checking Account;invoice Outdoors New York;multi-byte Jamaican Dollar North Carolina;12850;45825;81120;2019-06-17T19:20:40;82063;2019-06-17T09:50:40;revolutionize Branding;2019-06-17T10:42:40;20668;analyzing;Fantastic;1822;2019-06-18T07:30:15;9444;2019-06-17T17:36:05;2019-06-17T16:02:50;2019-06-18T00:21:43;withdrawal;quantifying Garden;81446;26069;2019-06-18T01:40:29;49603;../data/blob/hipster.txt;11816;2019-06-17T15:48:36
9;69673;Personal Loan Account HTTP;73507;mobile intermediate;deliverables;multi-byte Producer;Cotton Robust;58054;34080;86711;2019-06-17T10:06:05;56186;2019-06-17T11:50:15;bandwidth;2019-06-17T14:25:07;73990;Configurable iterate Liechtenstein;navigating encoding;89552;2019-06-18T06:02:23;38920;2019-06-18T07:09:20;2019-06-18T08:10:45;2019-06-17T09:26:04;bypassing granular Usability;Applications Missouri deposit;44844;9170;2019-06-18T01:24:08;60244;../data/blob/hipster.txt;32866;2019-06-17T19:09:02
10;67251;parse;79157;back-end Unbranded Cambridgeshire;Designer;mindshare;Guam bandwidth Liaison;68803;76151;83696;2019-06-17T17:36:08;86686;2019-06-18T06:00:44;Practical Algerian Dinar Fantastic Fresh Salad;2019-06-17T15:29:23;14660;Avon;Planner;37427;2019-06-17T11:43:27;37064;2019-06-17T11:18:39;2019-06-17T12:55:56;2019-06-18T02:45:32;Principal Pennsylvania dynamic;Sleek navigate Oklahoma;42422;24872;2019-06-17T10:41:13;33025;../data/blob/hipster.txt;11119;2019-06-17T22:00:45
